Flow Duration,Total Fwd Packets,Total Backward Packets,Total Length of Fwd Packets,Total Length of Bwd Packets,Fwd Packet Length Max,Fwd Packet Length Mean,Bwd Packet Length Max,Bwd Packet Length Mean,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Fwd IAT Total,Bwd IAT Total,SYN Flag Count,ACK Flag Count,Average Packet Size,Avg Fwd Segment Size,Avg Bwd Segment Size,Label
6151251,1,5,1375,24,1375,1375.0,6,4.8,227.4334115,0.975411343,1230250.2,2730869.488,0,6149869,1,1,462.3333333,1375.0,4.8,0
10068742,5,0,30,0,6,6.0,0,0.0,2.979518196,0.496586366,2517185.5,5030357.133,10100000,0,0,1,7.2,6.0,0.0,1
9927803,4,0,24,0,6,6.0,0,0.0,2.417453287,0.402908881,3309267.667,5731818.002,9927803,0,0,1,7.5,6.0,0.0,1
147275,3,5,26,11607,20,8.666666667,10135,2321.4,78988.28722,54.32014938,21039.28571,55342.63422,554,147215,0,0,1454.125,8.666666667,2321.4,1
3678904,5,0,30,0,6,6.0,0,0.0,8.154602566,1.359100428,919726.0,1838111.394,3678904,0,0,1,7.2,6.0,0.0,1
3955956,5,0,30,0,6,6.0,0,0.0,7.58350194,1.26391699,988989.0,1976631.561,3955956,0,0,1,7.2,6.0,0.0,1
46375,3,4,26,11601,20,8.666666667,7215,2900.25,250716.9811,150.9433962,7729.166667,13652.00799,12051,46312,0,0,1661.0,8.666666667,2900.25,1
97812360,7,9,12982,56,4380,1854.571429,20,6.222222222,133.2960374,0.163578509,6520824.0,24000000.0,97800000,97600000,1,1,900.8125,1854.571429,6.222222222,0
97675092,6,9,11607,62,5840,1934.5,20,6.888888889,119.4675097,0.15357037,6976792.286,22900000.0,97700000,97500000,0,1,778.3333333,1934.5,6.888888889,0
75498525,8,6,56,11607,20,7.0,4380,1934.5,154.4798392,0.185434086,5807578.846,17400000.0,74100000,1390159,0,1,833.5,7.0,1934.5,1
9978935,5,0,30,0,6,6.0,0,0.0,3.00633284,0.501055473,2494733.75,4987761.568,9978935,0,0,1,7.2,6.0,0.0,1
113377,3,5,26,11607,20,8.666666667,10220,2321.4,102604.5847,70.56104854,16196.71429,42301.50871,990,113262,0,0,1454.125,8.666666667,2321.4,1
23841,26,31,156,59368,6,6.0,4344,1915.096774,2496707.353,2390.83931,425.7321429,2505.018203,23841,23731,0,0,1044.385965,6.0,1915.096774,0
2321576,4,0,24,0,6,6.0,0,0.0,10.33780501,1.722967501,773858.6667,1339816.933,2321576,0,0,1,7.5,6.0,0.0,1
158579,30,25,176,440,43,5.866666667,52,17.6,3884.499209,346.8302865,2936.648148,12424.79755,158513,158442,0,0,11.2,5.866666667,17.6,0
8728819,4,0,24,0,6,6.0,0,0.0,2.749512849,0.458252142,2909606.333,5039582.535,8728819,0,0,1,7.5,6.0,0.0,1
96770889,6,9,11613,62,7215,1935.5,20,6.888888889,120.6457864,0.155005293,6912206.357,25500000.0,96800000,96400000,0,1,778.7333333,1935.5,6.888888889,0
12064637,4,0,24,0,6,6.0,0,0.0,1.989284883,0.33154748,4021545.667,6962935.627,12100000,0,0,1,7.5,6.0,0.0,1
512014,5,0,30,0,6,6.0,0,0.0,58.59214787,9.765357978,128003.5,255345.8842,512014,0,0,1,7.2,6.0,0.0,1
9421761,5,0,30,0,6,6.0,0,0.0,3.184118128,0.530686355,2355440.25,4709555.926,9421761,0,0,1,7.2,6.0,0.0,1
5842692,4,0,24,0,6,6.0,0,0.0,4.107695562,0.684615927,1947564.0,3372651.065,5842692,0,0,1,7.5,6.0,0.0,1
2092017,5,0,30,0,6,6.0,0,0.0,14.34022764,2.390037939,523004.25,1045311.949,2092017,0,0,1,7.2,6.0,0.0,1
4232690,5,1,135,46,46,27.0,46,46.0,42.76240405,1.417538256,846538.0,1840414.202,4232690,0,1,1,37.83333333,27.0,46.0,0
5676884,4,0,24,0,6,6.0,0,0.0,4.227671377,0.704611896,1892294.667,3276688.848,5676884,0,0,1,7.5,6.0,0.0,1
509132,3,4,26,11607,20,8.666666667,11595,2901.75,22848.6915,13.74889027,84855.33333,207294.0281,1065,509081,0,0,1661.857143,8.666666667,2901.75,1
3441900,4,0,24,0,6,6.0,0,0.0,6.972892879,1.162148813,1147300.0,1986346.235,3441900,0,0,1,7.5,6.0,0.0,1
5139884,4,0,24,0,6,6.0,0,0.0,4.669366079,0.77822768,1713294.667,2966650.891,5139884,0,0,1,7.5,6.0,0.0,1
875182,3,6,26,11607,20,8.666666667,5840,1934.5,13292.09239,10.2835753,109397.75,308478.1639,1983,875142,0,0,1292.555556,8.666666667,1934.5,1
1428627,3,4,664,410,664,221.3333333,410,102.5,751.7707561,4.899809397,238104.5,364338.2693,1184539,1184955,0,0,153.4285714,221.3333333,102.5,0
1221033,5,0,30,0,6,6.0,0,0.0,24.56936053,4.094893422,305258.25,609853.346,1221033,0,0,1,7.2,6.0,0.0,1
80243648,8,5,56,11601,20,7.0,8760,2320.2,145.2700655,0.162006593,6686970.667,21100000.0,79700000,599742,0,1,897.1538462,7.0,2320.2,1
9741774,4,0,24,0,6,6.0,0,0.0,2.463616996,0.410602833,3247258.0,5623548.972,9741774,0,0,1,7.5,6.0,0.0,1
2143894,4,0,24,0,6,6.0,0,0.0,11.19458331,1.865763886,714631.3333,1237776.046,2143894,0,0,1,7.5,6.0,0.0,1
12075712,5,0,30,0,6,6.0,0,0.0,2.484325562,0.41405426,3018928.0,6035189.627,12100000,0,0,1,7.2,6.0,0.0,1
1310478,3,5,26,11607,20,8.666666667,7215,2321.4,8876.913615,6.104642733,187211.1429,494835.755,867,1310464,0,0,1454.125,8.666666667,2321.4,1
3938875,4,0,24,0,6,6.0,0,0.0,6.093110342,1.01551839,1312958.333,2272383.039,3938875,0,0,1,7.5,6.0,0.0,1
211574,3,4,26,11607,20,8.666666667,11595,2901.75,54983.12647,33.08535075,35262.33333,85901.72213,859,211499,0,0,1661.857143,8.666666667,2901.75,1
8926771,4,0,24,0,6,6.0,0,0.0,2.688542139,0.448090357,2975590.333,5153021.494,8926771,0,0,1,7.5,6.0,0.0,1
7897807,5,0,30,0,6,6.0,0,0.0,3.798522805,0.633087134,1974451.75,3944908.749,7897807,0,0,1,7.2,6.0,0.0,1
235,2,1,31,6,31,15.5,6,6.0,157446.8085,12765.95745,117.5,130.8147545,235,0,1,1,22.66666667,15.5,6.0,0
27118,3,5,26,11607,20,8.666666667,10135,2321.4,428977.0632,295.0070064,3874.0,9685.710884,954,27033,0,0,1454.125,8.666666667,2321.4,1
42,1,1,6,6,6,6.0,6,6.0,285714.2857,47619.04762,42.0,0.0,0,0,0,1,9.0,6.0,6.0,0
22,2,1,12,6,6,6.0,6,6.0,818181.8182,136363.6364,11.0,11.3137085,3,0,0,1,8.0,6.0,6.0,1
823012,3,5,26,11607,20,8.666666667,7215,2321.4,14134.66632,9.720392898,117573.1429,310753.1478,504,822933,0,0,1454.125,8.666666667,2321.4,1
474066,7,2,11607,26,5755,1658.142857,20,13.0,24538.7773,18.98469833,59258.25,167148.0709,474066,48,0,0,1292.555556,1658.142857,13.0,0
4024234,4,0,24,0,6,6.0,0,0.0,5.963867906,0.993977984,1341411.333,2320791.962,4024234,0,0,1,7.5,6.0,0.0,1
654526,3,5,26,11607,20,8.666666667,7215,2321.4,17773.16715,12.2225855,93503.71429,247042.8002,607,654508,0,0,1454.125,8.666666667,2321.4,1
6097829,4,0,24,0,6,6.0,0,0.0,3.935826997,0.655971166,2032609.667,3514518.473,6097829,0,0,1,7.5,6.0,0.0,1
127040,2,5,20,11607,20,10.0,10135,2321.4,91522.35516,55.10075567,21173.33333,51383.42637,718,127019,0,0,1661.0,10.0,2321.4,1
46853,4,2,160,234,40,40.0,117,117.0,8409.280089,128.0601029,9370.6,13853.60129,30829,3,0,0,72.33333333,40.0,117.0,0
1729090,3,5,26,11607,20,8.666666667,10135,2321.4,6727.816366,4.62671116,247012.8571,652929.228,1124,1729046,0,0,1454.125,8.666666667,2321.4,1
10049744,5,0,30,0,6,6.0,0,0.0,2.985150667,0.497525111,2512436.0,5022874.198,10000000,0,0,1,7.2,6.0,0.0,1
265,2,2,90,122,45,45.0,61,61.0,800000.0,15094.33962,88.33333333,146.9364942,4,3,0,0,64.25,45.0,61.0,0
92425,1,1,47,142,47,47.0,142,142.0,2044.901271,21.63916689,92425.0,0.0,0,0,0,0,118.0,47.0,142.0,0
140,2,0,0,0,0,0.0,0,0.0,0.0,14285.71429,140.0,0.0,140,0,0,1,0.0,0.0,0.0,0
30485,1,1,49,65,49,49.0,65,65.0,3739.544038,65.60603576,30485.0,0.0,0,0,0,0,81.5,49.0,65.0,0
96,2,4,0,0,0,0.0,0,0.0,0.0,62500.0,19.2,25.85923433,0,50,0,1,0.0,0.0,0.0,0
854903,3,4,26,11601,20,8.666666667,8760,2900.25,13600.37338,8.188063441,142483.8333,332948.2098,32943,854837,0,0,1661.0,8.666666667,2900.25,1
4937,2,0,12,0,6,6.0,0,0.0,2430.625886,405.1043144,4937.0,0.0,4937,0,0,1,9.0,6.0,0.0,0
17680,6,2,11607,26,10135,1934.5,20,13.0,657975.1131,452.4886878,2525.714286,6298.861794,17680,3,0,0,1454.125,1934.5,13.0,0
1338107,1,6,6,36,6,6.0,6,6.0,31.38762446,5.231270743,223017.8333,531576.2476,0,1323071,0,1,6.857142857,6.0,6.0,0
1021385,3,6,26,11601,20,8.666666667,5840,1933.5,11383.56252,8.811564689,127673.125,356774.4941,10209,1021334,0,0,1291.888889,8.666666667,1933.5,1
60213,3,6,26,11601,20,8.666666667,2920,1933.5,193097.836,149.4693837,7526.625,16312.96749,12997,59805,0,0,1291.888889,8.666666667,1933.5,1
2119717,4,0,24,0,6,6.0,0,0.0,11.32226613,1.887044355,706572.3333,1223072.677,2119717,0,0,1,7.5,6.0,0.0,1
10831690,4,0,24,0,6,6.0,0,0.0,2.215720723,0.369286787,3610563.333,6252817.461,10800000,0,0,1,7.5,6.0,0.0,1
668682,3,6,26,11601,20,8.666666667,5840,1933.5,17387.93627,13.4593125,83585.25,229747.2774,16331,668531,0,0,1291.888889,8.666666667,1933.5,1
9192753,12,8,1128,560,517,94.0,137,70.0,183.6229038,2.175626823,483829.1053,1015376.957,9192753,3609137,0,0,84.4,94.0,70.0,0
319285,3,5,26,11607,20,8.666666667,7215,2321.4,36434.53341,25.05598447,45612.14286,120310.3149,609,319196,0,0,1454.125,8.666666667,2321.4,1
419159,3,4,652,421,652,217.3333333,421,105.25,2559.887775,16.70010664,69859.83333,107714.0015,209047,210318,0,0,153.2857143,217.3333333,105.25,0
854475,3,6,26,11607,20,8.666666667,5840,1934.5,13614.20755,10.53278329,106809.375,301595.1002,888,854326,0,0,1292.555556,8.666666667,1934.5,1
1939499,35,44,825,78940,329,23.57142857,4380,1794.090909,41126.60022,40.73216846,24865.37179,72982.6401,1939371,1667491,0,0,1009.683544,23.57142857,1794.090909,0
71140167,8,5,56,11607,20,7.0,7215,2321.4,163.9439503,0.182737834,5928347.25,20000000.0,70400000,715626,0,1,897.6153846,7.0,2321.4,1
5920902,4,0,24,0,6,6.0,0,0.0,4.053436453,0.675572742,1973634.0,3416708.52,5920902,0,0,1,7.5,6.0,0.0,1
8849798,4,0,24,0,6,6.0,0,0.0,2.711926306,0.451987718,2949932.667,5108567.256,8849798,0,0,1,7.5,6.0,0.0,1
4594830,5,0,30,0,6,6.0,0,0.0,6.529077246,1.088179541,1148707.5,2293418.692,4594830,0,0,1,7.2,6.0,0.0,1
1758701,3,6,26,11607,20,8.666666667,5840,1934.5,6614.541073,5.117413364,219837.625,621436.7259,590,1758650,0,0,1292.555556,8.666666667,1934.5,1
1674139,3,4,26,11607,20,8.666666667,11595,2901.75,6948.646439,4.181253767,279023.1667,683134.7232,648,1674094,0,0,1661.857143,8.666666667,2901.75,1
276288,3,5,26,11607,20,8.666666667,5840,2321.4,42104.61547,28.95529303,39469.71429,103516.5012,1461,276241,0,0,1454.125,8.666666667,2321.4,1
173017,3,4,86,7,86,28.66666667,7,1.75,537.5194345,40.45845206,28836.16667,44374.83453,87446,86340,0,0,13.28571429,28.66666667,1.75,0
58484,3,5,26,11607,20,8.666666667,10135,2321.4,198909.1033,136.7895493,8354.857143,21535.88222,1021,58439,0,0,1454.125,8.666666667,2321.4,1
10325182,4,0,24,0,6,6.0,0,0.0,2.324414233,0.387402372,3441727.333,5960830.049,10300000,0,0,1,7.5,6.0,0.0,1
89498310,8,6,56,11601,20,7.0,4380,1933.5,130.2482695,0.156427535,6884485.385,23300000.0,88600000,924970,0,1,833.0714286,7.0,1933.5,1
281125,3,5,26,11607,20,8.666666667,10135,2321.4,41380.16896,28.45709204,40160.71429,105914.1311,546,281109,0,0,1454.125,8.666666667,2321.4,1
96449,1,1,43,142,43,43.0,142,142.0,1918.112163,20.73634771,96449.0,0.0,0,0,0,0,114.0,43.0,142.0,0
6111844,4,0,24,0,6,6.0,0,0.0,3.926801797,0.654466966,2037281.333,3527807.922,6111844,0,0,1,7.5,6.0,0.0,1
12036538,5,0,30,0,6,6.0,0,0.0,2.492411024,0.415401837,3009134.5,6017605.018,12000000,0,0,1,7.2,6.0,0.0,1
269,2,2,66,164,33,33.0,82,82.0,855018.5874,14869.88848,89.66666667,72.16878365,48,48,0,0,65.75,33.0,82.0,0
6197839,4,0,24,0,6,6.0,0,0.0,3.872317432,0.645386239,2065946.333,3576574.644,6197839,0,0,1,7.5,6.0,0.0,1
179,2,2,84,116,42,42.0,58,58.0,1117318.436,22346.36872,59.66666667,64.29878174,2,48,0,0,60.5,42.0,58.0,0
8123787,5,0,30,0,6,6.0,0,0.0,3.692859008,0.615476501,2030946.75,4056092.24,8123787,0,0,1,7.2,6.0,0.0,1
51344,1,1,0,0,0,0.0,0,0.0,0.0,38.95294484,51344.0,0.0,0,0,0,1,0.0,0.0,0.0,0
47603,2,0,12,0,6,6.0,0,0.0,252.0849526,42.01415877,47603.0,0.0,47603,0,0,1,9.0,6.0,0.0,0
166002,10,9,587,3912,197,58.7,1460,434.6666667,27102.08311,114.4564523,9222.333333,13203.68331,166002,122878,0,0,236.7894737,58.7,434.6666667,0
2095947,4,0,24,0,6,6.0,0,0.0,11.45067122,1.908445204,698649.0,1209227.91,2095947,0,0,1,7.5,6.0,0.0,1
2994920,4,0,24,0,6,6.0,0,0.0,8.013569645,1.335594941,998306.6667,1729114.404,2994920,0,0,1,7.5,6.0,0.0,1
19813,3,5,26,11601,20,8.666666667,4380,2320.2,586836.9253,403.775299,2830.428571,5509.978126,15054,19712,0,0,1453.375,8.666666667,2320.2,1
987446,3,4,26,11601,20,8.666666667,10220,2900.25,11774.8211,7.088995246,164574.3333,400752.1578,4664,987386,0,0,1661.0,8.666666667,2900.25,1
15443108,6,6,773,233,749,128.8333333,209,38.83333333,65.14232757,0.777045657,1403918.909,3186485.824,10600000,15200000,0,0,83.83333333,128.8333333,38.83333333,0
2052010,5,0,30,0,6,6.0,0,0.0,14.61981179,2.436635299,513002.5,1025341.107,2052010,0,0,1,7.2,6.0,0.0,1
95638,3,6,26,11607,20,8.666666667,4380,1934.5,121635.7515,94.10485372,11954.75,33363.63026,891,95581,0,0,1292.555556,8.666666667,1934.5,1
4460294,1,6,6,36,6,6.0,6,6.0,9.416419635,1.569403273,743382.3333,1805757.352,0,4459885,0,1,6.857142857,6.0,6.0,0
136534,1,1,52,116,52,52.0,116,116.0,1230.462742,14.64836597,136534.0,0.0,0,0,0,0,110.0,52.0,116.0,0
257000,3,5,26,11607,20,8.666666667,5840,2321.4,45264.59144,31.12840467,36714.28571,96643.77255,854,256940,0,0,1454.125,8.666666667,2321.4,1
93831834,8,5,56,11607,20,7.0,5840,2321.4,124.2968351,0.138545731,7819319.5,24900000.0,93600000,188099,0,1,897.6153846,7.0,2321.4,1
90449311,9,4,62,11601,20,6.888888889,7300,2900.25,128.9451503,0.14372691,7537442.583,25400000.0,90000000,456803,0,1,897.6153846,6.888888889,2900.25,1
80904454,6,10,11607,68,4380,1934.5,20,6.8,144.306023,0.197764143,5393630.267,17600000.0,80900000,80800000,0,1,730.0625,1934.5,6.8,0
911445,3,4,26,11601,20,8.666666667,5840,2900.25,12756.66661,7.680112349,151907.5,366767.1489,10696,911393,0,0,1661.0,8.666666667,2900.25,1
28796,3,6,26,11601,20,8.666666667,5840,1933.5,403771.3571,312.5434088,3599.5,8701.008907,25020,28746,0,0,1291.888889,8.666666667,1933.5,1
61289,1,1,44,204,44,44.0,204,204.0,4046.403107,32.63228312,61289.0,0.0,0,0,0,0,146.0,44.0,204.0,0
8116768,5,0,30,0,6,6.0,0,0.0,3.696052419,0.616008736,2029192.0,4057720.694,8116768,0,0,1,7.2,6.0,0.0,1
8421741,5,0,30,0,6,6.0,0,0.0,3.562208812,0.593701469,2105435.25,4210048.505,8421741,0,0,1,7.2,6.0,0.0,1
407604,5,5,387,5457,387,77.4,2896,1091.4,14337.44517,24.53361596,45289.33333,60193.26692,407469,283320,0,0,584.4,77.4,1091.4,0
66169,5,2,11601,26,7215,2320.2,20,13.0,175716.7254,105.7897203,11028.16667,24180.79025,66169,559,0,0,1661.0,2320.2,13.0,0
532,1,1,50,94,50,50.0,94,94.0,270676.6917,3759.398496,532.0,0.0,0,0,0,0,97.0,50.0,94.0,0
1767843,3,4,26,11601,20,8.666666667,5840,2900.25,6576.941504,3.959627637,294640.5,711808.5061,19970,1767652,0,0,1661.0,8.666666667,2900.25,1
553715,3,4,26,11601,20,8.666666667,8760,2900.25,20998.16693,12.64188256,92285.83333,218854.6121,14022,553614,0,0,1661.0,8.666666667,2900.25,1
8099756,4,0,24,0,6,6.0,0,0.0,2.96305222,0.493842037,2699918.667,4675525.978,8099756,0,0,1,7.5,6.0,0.0,1
5340880,5,0,30,0,6,6.0,0,0.0,5.617051872,0.936175312,1335220.0,2669109.375,5340880,0,0,1,7.2,6.0,0.0,1
2085967,5,0,30,0,6,6.0,0,0.0,14.38181908,2.396969847,521491.75,1042411.504,2085967,0,0,1,7.2,6.0,0.0,1
11857759,1,6,1375,30,1375,1375.0,6,5.0,118.4878188,0.59033077,1976293.167,4826484.999,0,11800000,1,1,397.1428571,1375.0,5.0,0
629235,3,6,26,11601,20,8.666666667,4380,1933.5,18477.99312,14.30308231,78654.375,220886.301,3368,629180,0,0,1291.888889,8.666666667,1933.5,1
130791,3,7,26,11607,20,8.666666667,4380,1658.142857,88943.42883,76.45786025,14532.33333,43012.53327,802,130736,0,0,1163.3,8.666666667,1658.142857,1
80780772,8,5,56,11607,20,7.0,7215,2321.4,144.3784172,0.160929386,6731731.0,22000000.0,80200000,549321,0,1,897.6153846,7.0,2321.4,1
6142773,4,0,24,0,6,6.0,0,0.0,3.907030261,0.65117171,2047591.0,3544279.134,6142773,0,0,1,7.5,6.0,0.0,1
1825358,3,6,26,11607,20,8.666666667,7300,1934.5,6372.99642,4.930539653,228169.75,644803.9511,949,1825337,0,0,1292.555556,8.666666667,1934.5,1
6045897,8,6,371,3669,190,46.375,1460,611.5,668.2217709,2.315619998,465069.0,1627747.123,6045897,90588,0,0,288.5714286,46.375,611.5,0
73007205,6,10,11613,68,7215,1935.5,20,6.8,159.9979071,0.219156452,4867147.0,18200000.0,73000000,71600000,0,1,730.4375,1935.5,6.8,0
6753816,5,0,30,0,6,6.0,0,0.0,4.441933272,0.740322212,1688454.0,3376228.7,6753816,0,0,1,7.2,6.0,0.0,1
30783,2,2,72,286,36,36.0,143,143.0,11629.79567,129.941851,10261.0,17726.68827,4,49,0,0,98.5,36.0,143.0,0
2174619,56,80,951,142690,329,16.98214286,4380,1783.625,66053.40982,62.53969086,16108.28889,54254.07427,2174422,1921447,0,0,1056.183824,16.98214286,1783.625,0
150,2,2,68,100,34,34.0,50,50.0,1120000.0,26666.66667,50.0,83.14445261,1,3,0,0,50.5,34.0,50.0,0
402358,3,4,26,11601,20,8.666666667,10135,2900.25,28897.15129,17.39744208,67059.66667,150117.1288,29052,402197,0,0,1661.0,8.666666667,2900.25,1
2591101,4,0,24,0,6,6.0,0,0.0,9.262471822,1.543745304,863700.3333,1495104.319,2591101,0,0,1,7.5,6.0,0.0,1
23862,2,2,60,174,30,30.0,87,87.0,9806.386724,167.6305423,7954.0,13770.66995,4,3,0,0,66.0,30.0,87.0,0
20706,3,5,26,11607,20,8.666666667,7300,2321.4,561817.8306,386.3614411,2958.0,7379.914092,787,20657,0,0,1454.125,8.666666667,2321.4,1
9407800,5,0,30,0,6,6.0,0,0.0,3.1888433,0.531473883,2351950.0,4702883.388,9407800,0,0,1,7.2,6.0,0.0,1
839850,3,4,26,11601,20,8.666666667,5840,2900.25,13844.13883,8.334821694,139975.0,339289.2762,6966,839755,0,0,1661.0,8.666666667,2900.25,1
1111242,3,5,26,11607,20,8.666666667,5840,2321.4,10468.46681,7.19915194,158748.8571,419599.5236,684,1111193,0,0,1454.125,8.666666667,2321.4,1
31126,2,2,70,102,35,35.0,51,51.0,5525.926878,128.5099274,10375.33333,17963.67628,4,4,0,0,51.75,35.0,51.0,0
1657034,5,0,30,0,6,6.0,0,0.0,18.10463756,3.017439594,414258.5,822522.6858,1657034,0,0,1,7.2,6.0,0.0,1
4046425,5,0,30,0,6,6.0,0,0.0,7.413951822,1.235658637,1011606.25,2021667.896,4046425,0,0,1,7.2,6.0,0.0,1
662742,3,5,26,11607,20,8.666666667,10135,2321.4,17552.83353,12.07106234,94677.42857,250062.6241,801,662694,0,0,1454.125,8.666666667,2321.4,1
862997,3,6,26,11607,20,8.666666667,4380,1934.5,13479.76876,10.42877322,107874.625,304711.5603,878,862947,0,0,1292.555556,8.666666667,1934.5,1
82840,7,9,322,12069,292,46.0,2920,1341.0,149577.4988,193.143409,5522.666667,13655.57053,82804,43660,0,0,774.4375,46.0,1341.0,0
